gene	RVIS
LRP1	-7.28
TRRAP	-6.14
ANKRD11	-4.38
ZFHX3	-4.26
HERC2	-5.99
TRIO	-4.04
MACF1	-3.92
PLEC	-6.57
SRRM2	-4.51
SPTBN1	-3.86
UBR4	-7.5
EP400	-3.86
NOTCH1	-3.51
FASN	-3.39
POLR2A	-3.52
EP300	-3.68
LRP5	-3.72
PLXNB2	-3.3
FLNA	-3.24
DYNC1H1	-6.01
SBF1	-4.05
COL5A1	-3.01
PTPRD	-3.08
HUWE1	-3.36
SRCAP	-4.14
DSCAM	-3.29
SDK1	-4.63
CHD7	-2.92
CHD5	-3.07
CELSR1	-2.82
PLXNA1	-4.39
CDC42BPB	-3.29
KAT6A	-3.09
DSCAML1	-4.22
RAI1	-3.68
DOT1L	-3.18
ZNF462	-2.81
FBN1	-2.81
ANK2	-3.33
SPTB	-2.64
UBR5	-2.92
GCN1L1	-3.77
CACNA1E	-2.71
FLNC	-3.64
LPHN1	-2.63
HDAC4	-2.85
ANKRD17	-2.94
SIPA1L1	-2.73
MED13L	-2.74
BPTF	-2.55
MED12L	-2.54
TCF20	-2.55
TSC2	-2.54
COL4A1	-2.82
ARID1A	-2.67
TULP4	-2.53
DLG5	-2.37
CIC	-3.38
PTPRS	-4.37
NCOR2	-2.6
EEF2	-2.28
GRIN2B	-2.41
ANK3	-3.5
MAPK8IP3	-2.65
CHD8	-2.34
WDFY3	-2.82
ANK1	-3.14
ANKHD1	-2.36
INTS1	-5.05
SEC16A	-2.29
SPEN	-2.31
BIRC6	-4.33
CAD	-3.84
KAT6B	-2.38
MYH9	-1.99
KDM4B	-2.57
REV3L	-2.1
MTOR	-3.49
BSN	-3.96
SPTAN1	-3.53
CAMTA1	-2.13
HECTD1	-2.23
PLXNA3	-2.49
NIPBL	-2.45
ZNF609	-2.58
CACNA1H	-2.06
PTPRZ1	-2.22
NCOR1	-2.14
SLIT1	-2.03
SMARCA4	-2.85
ABCA2	-4.24
NBEA	-1.89
LRP1B	-2.29
CTNND2	-2.41
SON	-1.88
CREBBP	-2.1
SMG1	-2.98
ZNF608	-2.16
SCN2A	-1.99
SUPT6H	-2.41
CSMD2	-1.92
ARID1B	-2.62
EGFR	-2.16
ACTG1	-1.93
ZBED1	-2.19
HTT	-2.03
ZMIZ1	-2.04
CACNA1C	-2.09
CACNA1A	-1.78
JAG1	-2.14
TLN1	-3.42
CELSR2	-1.81
MBD5	-2.12
LAMC1	-2.49
ASH1L	-1.8
AGAP1	-2.39
NFASC	-1.8
BRD1	-1.72
LONP1	-1.82
LMTK2	-2.42
ARID2	-1.76
UNC13A	-1.7
NFATC1	-1.85
BRPF1	-2.26
CASZ1	-2.42
NRXN1	-1.79
TSHZ3	-1.72
AUTS2	-1.97
GTF3C1	-1.71
KCNMA1	-1.68
FRMPD4	-1.84
LLGL1	-1.74
CHD2	-1.75
SLC45A1	-2.04
COL1A1	-1.79
NDST1	-1.75
PTCH1	-2.73
AP2A2	-1.77
SREBF2	-1.83
BTAF1	-1.72
UBN1	-1.7
NSD1	-1.55
COL12A1	-1.63
SETD1A	-2.93
FRY	-2.66
LYST	-3.04
NAV1	-1.6
ZNF574	-2.04
ZNF423	-2.2
CLCN7	-1.64
DAB2IP	-1.52
NTRK3	-1.99
BRF1	-2.06
BAI3	-1.74
TP73	-1.73
DNMT1	-1.54
RAPGEF1	-1.77
SMARCC2	-1.66
BAI2	-1.52
SRGAP3	-1.64
ANAPC2	-1.66
DIP2C	-3.62
ABL1	-1.63
BCL9L	-1.47
KIAA0430	-1.52
PBRM1	-2.15
DICER1	-1.52
HCFC1	-1.46
TET3	-1.51
PPFIA1	-1.68
ARHGAP35	-1.81
ZNF521	-1.77
BRD4	-1.48
NAV2	-1.56
BAZ1B	-1.61
EPS15L1	-2.13
PIK3CD	-1.66
DIDO1	-1.41
KCNH2	-1.46
RET	-1.61
C11orf30	-1.95
PHRF1	-1.58
DLGAP2	-1.61
CSMD1	-7.11
KCNH4	-1.68
