"transcript","gene","bp","all","synonymous","missense","nonsense","splice-site","frame-shift","F","M","P_LGDS","P_MISSENSE","P_SYNONYMOUS"
"NM_017582","UBE2Q1",1269,-4.768,-5.2654,-4.9809,-6.198,-6.2709,-6.0949,2,2,1.97350091693E-06,1.04496080264E-05,5.42750209796E-06
"NM_014372","RNF11",465,-5.1251,-5.637,-5.3151,-6.6037,-7.0715,-6.5309,2,2,6.2838802264E-07,4.84060895611E-06,2.30674718872E-06
"NM_014455","RNF115",915,-4.9092,-5.5012,-5.0788,-6.3393,-6.4484,-6.2369,2,2,1.39351063391E-06,8.34065197409E-06,3.15355202455E-06
"NM_001357","DHX9",3813,-4.2966,-4.9187,-4.4646,-5.5248,-5.945,-5.617,2,2,6.53722940515E-06,3.43083632775E-05,1.20586863728E-05
"NM_001101376","FAM183A",405,-5.2266,-5.8034,-5.3921,-6.5424,-99,-6.5909,2,2,5.43321231145E-07,4.05415174407E-06,1.57253384008E-06
"NM_001042549","NSL1",642,-5.023,-5.5779,-5.2049,-6.3905,-6.7514,-6.3908,2,2,9.90797694578E-07,6.23878472272E-06,0.000002643
"NM_006912","RIT1",660,-4.9816,-5.6739,-5.1238,-6.2206,-6.7582,-6.3788,2,2,1.1942523587E-06,7.51969108865E-06,2.11884896209E-06
"NM_014856","DENND4B",4491,-4.1279,-4.696,-4.2836,-5.6404,-99,-5.546,2,2,5.13321976451E-06,5.20475151171E-05,2.01372424986E-05
"NM_012396","PHLDA3",384,-4.9692,-5.4486,-5.1542,-6.8854,-7.6975,-6.614,2,2,3.93484918814E-07,7.01132340687E-06,3.55959018006E-06
"NM_152902","TIPRL",819,-4.9332,-5.4691,-5.1267,-6.2855,-6.5841,-6.285,2,2,1.29755848394E-06,7.46964565078E-06,3.39547079984E-06
"NM_019099","FAM212B",894,-4.8613,-5.4743,-5.0134,-6.1881,-7.3525,-6.247,2,2,1.25913635232E-06,9.69616506049E-06,3.35505774999E-06
"NM_021958","HLX",1467,-4.4694,-4.9039,-4.6873,-6.1258,-6.8705,-6.0319,2,2,1.812435511E-06,2.05447092746E-05,1.24767076798E-05
"NM_018178","GOLPH3L",858,-4.9284,-5.5794,-5.0892,-6.0603,-6.8821,-6.2648,2,2,1.54505250136E-06,8.14329185209E-06,2.63390435275E-06
"NM_001826","CKS1B",240,-5.3761,-5.9051,-5.5762,-6.7094,-7.0542,-6.8181,2,2,4.35541104305E-07,2.65338335238E-06,1.24422808468E-06
"NM_057090","ARTN",687,-5.0677,-5.5213,-5.2829,-6.564,-7.368,-6.3614,2,2,7.50863567413E-07,5.2131473444E-06,3.01092543205E-06
"NM_003196","TCEA3",1047,-4.8033,-5.3657,-4.9605,-6.3777,-7.5234,-6.1784,2,2,1.11217899389E-06,1.09521655537E-05,4.30824110479E-06
"NM_012421","RLF",5745,-4.1638,-4.7365,-4.3308,-5.4907,-6.5123,-5.439,2,2,7.17727268377E-06,4.66874334392E-05,1.83442516712E-05
"NM_144699","ATP1A4",3090,-4.3106,-4.8542,-4.4936,-5.7592,-5.9714,-5.7084,2,2,4.76611696443E-06,3.20922376805E-05,1.39894293718E-05
"NM_000702","ATP1A2",3063,-4.2647,-4.8021,-4.4438,-5.7963,-6.0065,-5.7122,2,2,4.52359038981E-06,3.59915044E-05,1.5772480531E-05
"NM_001160233","ATP1A1",3072,-4.3378,-4.8837,-4.5176,-5.8142,-6.0219,-5.7109,2,2,4.43054220087E-06,3.03668678847E-05,1.30707347072E-05
"NM_001937","DPT",606,-5.0176,-5.5941,-5.1934,-6.3051,-6.867,-6.4158,2,2,1.01505145688E-06,6.40619272627E-06,2.54624389076E-06
"NM_014652","IPO13",2892,-4.379,-4.9279,-4.5628,-5.7834,-6.0229,-5.7371,2,2,4.42717451154E-06,2.73652865419E-05,1.18059244581E-05
"NM_001162536","RBMXL1",1173,-4.7543,-5.4191,-4.8988,-5.9425,-7.9575,-6.129,2,2,1.89561052485E-06,1.26240876147E-05,3.80978089846E-06
