"gene","gene_upper","codingLenInTarget"
"CHD8","CHD8",7752
"DYRK1A","DYRK1A",2376
"ANK2","ANK2",11931
"GRIN2B","GRIN2B",4455
"DSCAM","DSCAM",6039
"CHD2","CHD2",5491
"ARID1B","ARID1B",6596
"KDM6B","KDM6B",5049
"ADNP","ADNP",3309
"MED13L","MED13L",6633
"SCN2A","SCN2A",6110
"WDFY3","WDFY3",10581
"ANKRD11","ANKRD11",7992
"DIP2A","DIP2A",4825
"NCKAP1","NCKAP1",3405
"TNRC6B","TNRC6B",5615
"PHF2","PHF2",3291
"WAC","WAC",1944
"KDM5B","KDM5B",4635
"POGZ","POGZ",4233
"TBR1","TBR1",2049
"FOXP1","FOXP1",2199
"GIGYF1","GIGYF1",3108
"KATNAL2","KATNAL2",1401
"KMT2E","KMT2E",5577
"RIMS1","RIMS1",5234
"TCF7L2","TCF7L2",2089
"ASH1L","ASH1L",8895
"DOT1L","DOT1L",4614
"SPEN","SPEN",10995
"AKAP9","AKAP9",11724
"DIP2C","DIP2C",4671
"GPRIN1","GPRIN1",3027
"MBD5","MBD5",4485
"MED13","MED13",6525
"NBEA","NBEA",8841
"UBAP2L","UBAP2L",3314
"UBR5","UBR5",8400
"MYH10","MYH10",5931
"SYNGAP1","SYNGAP1",4032
"TRIP12","TRIP12",5979
"AHDC1","AHDC1",4812
"CIC","CIC",4827
"CTNNB1","CTNNB1",2346
"DST","DST",21921
"KIAA0100","KIAA0100",6708
"KIF21A","KIF21A",4986
"NF1","NF1",8581
"SPAG9","SPAG9",3966
"SPTBN1","SPTBN1",7291
"TANC2","TANC2",5973
"ZC3H4","ZC3H4",3912
"APBB1","APBB1",2153
"ARVCF","ARVCF",2889
"ATP1A1","ATP1A1",3084
"ATP1B1","ATP1B1",912
"BAI1","BAI1",4755
"CDC42BPB","CDC42BPB",5136
"DSCAML1","DSCAML1",6342
"FAM91A1","FAM91A1",2517
"HIVEP3","HIVEP3",7221
"LMTK3","LMTK3",4470
"NRXN1","NRXN1",4903
"PINK1","PINK1",1746
"SHANK2","SHANK2",5448
"TNRC18","TNRC18",8907
"TRPM3","TRPM3",5239
"UBR3","UBR3",5667
"DNMT3A","DNMT3A",2864
"SRCAP","SRCAP",9693
"SUV420H1","SUV420H1",2666
"PHF3","PHF3",6120
"SETD2","SETD2",7695
"BRCA1","BRCA1",5592
"CHD1","CHD1",5133
"KAT6A","KAT6A",6015
"MSL2","MSL2",1734
"BAZ2B","BAZ2B",6507
"BRWD1","BRWD1",7216
"CBX4","CBX4",1683
"KAT2B","KAT2B",2499
"MPHOSPH8","MPHOSPH8",2583
"PHF21A","PHF21A",2069
"PHF7","PHF7",1146
"RAI1","RAI1",5721
"ZMYND11","ZMYND11",1830
"CTCF","CTCF",2184
"FBXO11","FBXO11",2552
"PAFAH1B2","PAFAH1B2",690
"SETBP1","SETBP1",4980
"ZFYVE26","ZFYVE26",7620
"BCL11A","BCL11A",2610
"BTAF1","BTAF1",5550
"CASP8AP2","CASP8AP2",5901
"CNOT3","CNOT3",2262
"CSDE1","CSDE1",2535
"CSTF2T","CSTF2T",1851
"CTTNBP2","CTTNBP2",4992
"CUL3","CUL3",2307
"DHX29","DHX29",4110
"DLL1","DLL1",2172
"DVL3","DVL3",2151
"EPHB2","EPHB2",2964
"FARP1","FARP1",3357
"GIGYF2","GIGYF2",3966
"GLTSCR2","GLTSCR2",1437
"GOPC","GOPC",1389
"IGSF3","IGSF3",3645
"ILF2","ILF2",1173
"IQGAP2","IQGAP2",4728
"L1CAM","L1CAM",3774
"LIG3","LIG3",3084
"LRP6","LRP6",4842
"NARG2","NARG2",2969
"NFIA","NFIA",1727
"NFIB","NFIB",1263
"OSBPL8","OSBPL8",2670
"PPM1D","PPM1D",1818
"RNF38","RNF38",1548
"SKIDA1","SKIDA1",2727
"SPAST","SPAST",1851
"SUFU","SUFU",1455
"TMEM39B","TMEM39B",1479
"TROVE2","TROVE2",1652
"UPF3B","UPF3B",1452
"ZNF614","ZNF614",1758
"ZWILCH","ZWILCH",1776
"MUC5B","MUC5B",17289
"KMT2C","KMT2C",14736
"MFRP","MFRP",1740
"MYO1E","MYO1E",3327
"NR3C2","NR3C2",2955
"PTK7","PTK7",3213
"ACACB","ACACB",7377
"CARKD","CARKD",1180
"DNAH5","DNAH5",13875
"FBXO18","FBXO18",3286
"GIMAP8","GIMAP8",1998
"INTS6","INTS6",2673
"IRF2BPL","IRF2BPL",2391
"LRFN2","LRFN2",2370
"LRP2","LRP2",13968
"MDN1","MDN1",16791
"MPP6","MPP6",1623
"MTUS1","MTUS1",4124
"NOTCH1","NOTCH1",7668
"NUAK1","NUAK1",1986
"OR10Z1","OR10Z1",942
"PDCD1","PDCD1",867
"PNPLA7","PNPLA7",4029
"PPP2R5D","PPP2R5D",1809
"RANBP2","RANBP2",8549
"RP1L1","RP1L1",7203
"SCUBE2","SCUBE2",3087
"STARD9","STARD9",14103
"TBL1XR1","TBL1XR1",1545
"TECTA","TECTA",6468
"TERF2","TERF2",1523
"TLK2","TLK2",2253
"TSPAN4","TSPAN4",717
"UNC80","UNC80",9777
"URB1","URB1",6816
"USP45","USP45",2445
"ZFHX3","ZFHX3",11112
"ACOX2","ACOX2",2046
"ADAM33","ADAM33",2442
"ADAMTS9","ADAMTS9",5808
"ADCY9","ADCY9",4062
"AFM","AFM",1800
"AMBP","AMBP",1059
"AMOTL1","AMOTL1",2871
"ANKFN1","ANKFN1",2292
"ANO5","ANO5",2742
"ANO9","ANO9",2349
"ARHGAP30","ARHGAP30",3306
"ARHGAP5","ARHGAP5",4509
"ASAH2","ASAH2",2343
"ATP10D","ATP10D",4281
"B4GALNT1","B4GALNT1",1622
"BNIP1","BNIP1",816
"BRF2","BRF2",1260
"BST2","BST2",543
"BTBD9","BTBD9",1847
"BTN1A1","BTN1A1",1581
"C10orf90","C10ORF90",2100
"C11orf24","C11ORF24",1350
"C16orf13","C16ORF13",686
"C21orf2","C21ORF2",793
"CACNA2D3","CACNA2D3",3276
"CAPN8","CAPN8",1786
"CC2D1A","CC2D1A",2856
"CCDC171","CCDC171",3981
"CCDC66","CCDC66",2847
"CCDC87","CCDC87",2550
"CCPG1","CCPG1",2274
"CDAN1","CDAN1",3684
"CDC23","CDC23",1794
"CMPK2","CMPK2",1354
"COL25A1","COL25A1",2049
"COL5A3","COL5A3",5238
"COL6A6","COL6A6",6792
"CPD","CPD",4143
"CSMD2","CSMD2",10484
"CTNNA3","CTNNA3",2688
"CUBN","CUBN",10872
"CYP27C1","CYP27C1",1119
"DDX3X","DDX3X",1989
"DDX60","DDX60",5139
"DOCK5","DOCK5",5613
"DSG3","DSG3",3000
"ECE1","ECE1",2460
"ECM2","ECM2",2100
"EFCAB5","EFCAB5",4555
"EIF2AK2","EIF2AK2",1656
"ELAVL2","ELAVL2",1080
"ETFB","ETFB",1098
"FAM168B","FAM168B",588
"FAM200B","FAM200B",1974
"FAM8A1","FAM8A1",1242
"FBXW11","FBXW11",1692
"FCRL6","FCRL6",1305
"FER1L5","FER1L5",6282
"FLG","FLG",12186
"FREM3","FREM3",6420
"GALNT18","GALNT18",1824
"GOLGA5","GOLGA5",2196
